,delta_sigma_eta,betas,varnames,specification,IV_varnames
0,-1.6164703322176097,4.769810672983478,x1,exogeneous_p_allBLP,x3_other1
1,5.6359097385704695,0.9235939513403202,x2,,x3_other2
2,4.247399083472326,1.0183301323829415,x3,,x2_other1
3,4.780806480461569,-0.9270282709996019,price,,x2_other2
4,4.068333064440583,,,,price
5,5.670543336179737,,,,
6,3.896433619881828,,,,
7,3.4921134793296753,,,,
8,3.019219004894191,,,,
9,0.22818965731496776,,,,
10,3.732941416078386,,,,
11,2.445532469415466,,,,
12,1.8758621669893687,,,,
13,3.6862152559479227,,,,
14,3.329021324048958,,,,
15,1.8737324254978636,,,,
16,2.2054076409226724,,,,
17,1.5767152775387443,,,,
18,2.3470536057797693,,,,
19,1.8677565988589053,,,,
20,1.2289497705001553,,,,
21,-2.5274287357018954,,,,
22,2.76984571315103,,,,
23,0.7061427978476694,,,,
24,0.440185760751253,,,,
25,5.071579228744101,,,,
26,5.569741936123808,,,,
27,-0.015126213209464143,,,,
28,4.488105605183645,,,,
29,0.20908615688955706,,,,
30,0.9934769874426163,,,,
31,2.049737767105046,,,,
32,0.31635302507828233,,,,
33,1.6959466225240192,,,,
34,4.248980924594898,,,,
35,3.381623696685564,,,,
36,-0.6124885197537887,,,,
37,4.1863386641895906,,,,
38,2.912341147310187,,,,
39,3.523461714624233,,,,
40,3.065768958106948,,,,
41,3.2959209885904492,,,,
42,0.5802394124533458,,,,
43,3.00646390509872,,,,
44,3.8175410503115152,,,,
45,2.050998664753066,,,,
46,2.0337163699512573,,,,
47,4.109290098164401,,,,
48,0.31452347792581165,,,,
49,5.520421640333177,,,,
50,3.6496698537005403,,,,
51,1.9056765109968568,,,,
52,3.258704806899446,,,,
53,0.7598616022627888,,,,
54,4.215422121913233,,,,
55,2.1858400774929754,,,,
56,4.297978547390199,,,,
57,1.3041071693276791,,,,
58,2.234924238523717,,,,
59,0.3792265253427042,,,,
60,0.415732332962393,,,,
61,0.9778322754107006,,,,
62,1.4632860250476862,,,,
63,1.3147418519441503,,,,
64,3.8836020313355952,,,,
65,3.41693018135388,,,,
66,-2.6639733982376725,,,,
67,5.604448669156512,,,,
68,5.183886678177279,,,,
69,3.4910025755103695,,,,
70,3.4988940174620318,,,,
71,3.1429140231437906,,,,
72,1.9932789670384283,,,,
73,4.3003321952855975,,,,
74,3.607101931970437,,,,
75,5.57264467556642,,,,
76,1.5160981131212834,,,,
77,6.961666130670775,,,,
78,2.382239395267262,,,,
79,4.953443318925777,,,,
80,4.3829279956055975,,,,
81,1.765392243332496,,,,
82,5.250317701549516,,,,
83,4.144602416551862,,,,
84,0.2087463112973897,,,,
85,0.20454064241816822,,,,
86,1.2096149822631717,,,,
87,2.6234630145760183,,,,
88,1.9963269212146495,,,,
89,0.320824018029119,,,,
90,0.6751752812027778,,,,
91,6.311141275743679,,,,
92,4.685630523859007,,,,
93,-0.6395791304304641,,,,
94,5.534718975178756,,,,
95,4.822815778611243,,,,
96,2.6235183697948172,,,,
97,-1.3146558148226675,,,,
98,2.895392991526718,,,,
99,5.306829277145797,,,,
100,5.44249053089764,,,,
101,4.888394496389684,,,,
102,3.6026071108532736,,,,
103,2.521557434020661,,,,
104,3.829527976839606,,,,
105,2.6811817349862506,,,,
106,-0.0725403300072205,,,,
107,3.146094906792952,,,,
108,-0.9329342636460717,,,,
109,-0.920397895341679,,,,
110,3.8193857937290816,,,,
111,-0.08235203961635465,,,,
112,2.1916868569252532,,,,
113,-0.9464214745454249,,,,
114,4.068505811601896,,,,
115,2.853580869293104,,,,
116,3.8099768829659135,,,,
117,2.819320264330231,,,,
118,3.127627903262604,,,,
119,1.5731652196708654,,,,
120,5.22094380330753,,,,
121,0.8795306441425409,,,,
122,5.143068304599787,,,,
123,0.9312488554155339,,,,
124,2.6931092005786907,,,,
125,2.7791341491358903,,,,
126,1.953645498772128,,,,
127,2.0553224953910676,,,,
128,4.1931603125985415,,,,
129,2.1582718501560127,,,,
130,1.4937567730004917,,,,
131,1.7797880722933304,,,,
132,2.1323560984135765,,,,
133,-1.1974593152015456,,,,
134,1.8378449245243735,,,,
135,1.1144510116410455,,,,
136,3.8201918304668854,,,,
137,3.041279375700575,,,,
138,4.021982036516169,,,,
139,2.631545159171132,,,,
140,4.079597854825925,,,,
141,1.8074079723396552,,,,
142,2.9433166516316303,,,,
143,0.8354262181222042,,,,
144,5.823358337669002,,,,
145,0.7639585922701487,,,,
146,4.127378196985812,,,,
147,1.3183854079478785,,,,
148,3.4112545117823387,,,,
149,3.9656973113953424,,,,
150,2.605609909742552,,,,
151,3.9012931901754655,,,,
152,1.119706449621076,,,,
153,1.9727174353528376,,,,
154,3.675457547734645,,,,
155,4.4909864905936745,,,,
156,1.7679155087396916,,,,
157,3.386096925564867,,,,
158,3.571148453969276,,,,
159,1.5445261563778925,,,,
160,1.68083248309914,,,,
161,4.249184878349282,,,,
162,5.475387719330801,,,,
163,5.013891755059361,,,,
164,0.6231099618308896,,,,
165,4.245130034168527,,,,
166,1.5935529954210639,,,,
167,2.180567680861814,,,,
168,1.7987047788912076,,,,
169,2.2290391685290625,,,,
170,2.7764975794488884,,,,
171,-0.5399271976050674,,,,
172,2.8575435129327786,,,,
173,1.49026978566912,,,,
174,0.64168768682878,,,,
175,2.853165450665964,,,,
176,3.0185301611644224,,,,
177,5.093161020752075,,,,
178,4.135401813279341,,,,
179,3.935737710704241,,,,
180,3.5726242327895448,,,,
181,5.304705927950078,,,,
182,2.309382708634521,,,,
183,2.385024230767863,,,,
184,4.632259948996697,,,,
185,4.823554750933103,,,,
186,-1.191488947974351,,,,
187,4.177050788060814,,,,
188,1.6445906062154154,,,,
189,2.112183969293845,,,,
190,4.477254879956438,,,,
191,1.0800606743754744,,,,
192,2.997410827456885,,,,
193,3.623634060405716,,,,
194,-0.5211497446059414,,,,
195,1.194647223719409,,,,
196,4.579422402720331,,,,
197,1.8152059767198527,,,,
198,2.644270066837355,,,,
199,3.610399852637898,,,,
200,4.972502179851088,,,,
201,3.4622847753061254,,,,
202,2.2204842090307433,,,,
203,2.2277810048852706,,,,
204,-0.5163380181833267,,,,
205,0.6082450443527313,,,,
206,-0.6958499795188202,,,,
207,-1.1212939360856078,,,,
208,2.7377619242986153,,,,
209,-0.8848115359481739,,,,
210,0.6004424240953756,,,,
211,2.3275407784030397,,,,
212,-0.8159674853817976,,,,
213,0.42672010058818916,,,,
214,4.701702778717591,,,,
215,1.604582043266241,,,,
216,3.818912169376325,,,,
217,3.6737036615358365,,,,
218,4.000958437677045,,,,
219,4.165390935580862,,,,
220,3.7227529869096125,,,,
221,3.907160636110199,,,,
222,1.7550186897926685,,,,
223,1.6483793053522942,,,,
224,1.7921903007005817,,,,
225,2.7021913577153756,,,,
226,3.512150767505283,,,,
227,-0.5873603075285985,,,,
228,1.4394817044658594,,,,
229,2.339438563866727,,,,
230,3.1142375189905227,,,,
231,1.7297475305698042,,,,
232,-0.03385710384835696,,,,
233,-0.048275902780448854,,,,
234,1.6550740014068757,,,,
235,2.0635469919577223,,,,
236,4.144822536028611,,,,
237,2.0182258858864914,,,,
238,4.589248344037031,,,,
239,4.713396670375748,,,,
240,2.711602007057164,,,,
241,3.3947639289251335,,,,
242,1.1837203328005514,,,,
243,3.2880455831439854,,,,
244,3.99543610469367,,,,
245,2.241377126472939,,,,
246,0.5845136897694639,,,,
247,7.298046167117331,,,,
248,4.960817392132901,,,,
249,1.9947714303814688,,,,
250,-1.7419255772682716,,,,
251,-2.0643496838182123,,,,
252,2.8605436837566836,,,,
253,3.356590505408157,,,,
254,3.5438529539208905,,,,
255,3.3306923626785028,,,,
256,3.0820460595730896,,,,
257,0.9328522019709112,,,,
258,2.042950635360782,,,,
259,3.0532523108372085,,,,
260,2.4390986473420235,,,,
261,1.1210343172797705,,,,
262,3.6032865313954723,,,,
263,-0.05790912145290972,,,,
264,1.6689295754491549,,,,
265,0.6161099635497773,,,,
266,2.0246402750433536,,,,
267,4.709519270764732,,,,
268,4.841205241662506,,,,
269,4.307234346944966,,,,
270,-0.4791448314927495,,,,
271,3.3439217928109355,,,,
272,4.228935964681369,,,,
273,1.4065257030823735,,,,
274,2.9352730807282668,,,,
275,1.749335106509756,,,,
276,-1.0870510994983207,,,,
277,0.4043085687139213,,,,
278,0.4692263086482548,,,,
279,0.8081101043638385,,,,
280,3.14783932107056,,,,
281,1.9477596079142638,,,,
282,-1.7723625327267412,,,,
283,1.2408835225517398,,,,
284,1.8372593450751316,,,,
285,-0.2921879617387487,,,,
286,2.462271889701105,,,,
287,4.610251124685089,,,,
288,3.0652767220062764,,,,
289,3.250250329686676,,,,
290,1.5937263890253703,,,,
291,1.0577930118297767,,,,
292,2.8883104770952395,,,,
293,2.297246764886425,,,,
294,0.9957296677468768,,,,
295,3.0729444503289978,,,,
296,2.311308546741808,,,,
297,3.335354426140616,,,,
298,4.8998187187099935,,,,
299,5.2938580368880395,,,,
300,0.9796990746542262,,,,
301,1.2228300847316375e-12,,,,
302,-3.048455453417513e-13,,,,
303,2.8404210371436126e-14,,,,
304,-3.2042715767627015,,,,
305,3.124672374525983,,,,
306,0.3408182981603009,,,,
307,0.009966518256016386,,,,
308,7.396048074665492e-13,,,,
